shipment_id,vendor,shipto_country,managed_by,fulfill_via,shipment_mode,pq_#,pq_first_sent_to_client_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor_inco_term,shipment_weight_kg,freight_cost_(usd),line_item_quantity,line_item_value,weight_captured_kg,freight_cost_usd,delivery_days,estimated_days,is_late,is_damaged,shipment_status
SHP_000001,Ecom Express,India,Kolkata,From RDC,Sea,1,2023-09-06,2023-09-06,2023-09-10,2023-09-10,Food,Food,DDP,350.39,59.81,23,456.37,244.89,59.81,4,5,False,False,Delivered
SHP_000002,Ecom Express,India,Jaipur,From RDC,Air,2,2023-01-18,2023-01-18,2023-01-30,2023-01-30,Food,Food,DDP,264.59,55.51,199,140.26,158.53,55.51,12,9,True,False,Late
SHP_000003,DHL,India,Hyderabad,Direct Drop,Sea,3,2023-03-12,2023-03-12,2023-03-18,2023-03-18,Pharma,Pharma,CIP,488.37,148.75,92,412.76,476.24,148.75,6,6,False,False,Delivered
SHP_000004,SafeExpress,India,Bangalore,From RDC,Sea,4,2023-09-02,2023-09-02,2023-09-09,2023-09-09,Automotive Parts,Automotive Parts,CIP,41.04,109.24,109,632.73,71.88,109.24,7,5,True,False,Late
SHP_000005,SpeedPost,India,Mumbai,Direct Drop,Ground,5,2022-12-04,2022-12-04,2022-12-16,2022-12-16,Consumer Goods,Consumer Goods,CIP,272.96,148.91,196,410.71,470.71,148.91,12,5,True,False,Late
SHP_000006,XpressBees,India,Mumbai,From RDC,Air,6,2023-09-07,2023-09-07,2023-09-14,2023-09-14,Apparel,Apparel,EXW,205.23,142.95,54,1041.05,159.89,142.95,7,5,True,False,Late
SHP_000007,XpressBees,India,Chennai,Direct Drop,Ground,7,2022-05-01,2022-05-01,2022-05-08,2022-05-08,Industrial,Industrial,EXW,188.8,111.4,87,772.47,200.01,111.4,7,8,False,False,Delivered
SHP_000008,Ecom Express,India,Pune,From RDC,Sea,8,2022-07-05,2022-07-05,2022-07-08,2022-07-08,Electronics,Electronics,EXW,326.86,116.6,80,307.18,344.1,116.6,3,3,False,False,Delivered
SHP_000009,Delhivery,India,Chennai,From RDC,Air,9,2023-01-28,2023-01-28,2023-02-05,2023-02-05,Food,Food,DDP,146.87,120.18,176,871.01,394.21,120.18,8,7,True,False,Late
SHP_000010,Amazon Logistics,India,Bangalore,From RDC,Sea,10,2023-03-18,2023-03-18,2023-03-26,2023-03-26,Industrial,Industrial,DDP,302.34,146.17,159,877.12,220.31,146.17,8,7,True,False,Late
